has_title,has_input,has_button,has_image,has_submit,has_link,has_password,has_email_input,has_hidden_element,has_audio,has_video,number_of_inputs,number_of_buttons,number_of_images,number_of_option,number_of_list,number_of_th,number_of_tr,number_of_href,number_of_paragraph,number_of_script,length_of_title,has_h1,has_h2,has_h3,length_of_text,number_of_clickable_button,number_of_a,number_of_img,number_of_div,number_of_figure,has_footer,has_form,has_text_area,has_iframe,has_text_input,number_of_meta,has_nav,has_object,has_picture,number_of_sources,number_of_span,number_of_table,URL,label
1,1,1,0,0,1,0,0,0,0,0,1,19,0,0,92,0,0,15,25,22,64,1,1,1,5928,8,133,50,396,13,0,1,0,1,1,6,1,0,0,0,137,0,http://minitab.com,0
1,1,1,0,0,1,0,0,1,0,0,1,5,0,0,47,0,0,16,10,20,37,1,1,1,2741,1,64,9,77,0,1,1,0,0,0,18,1,0,0,0,21,0,http://vsenet.net,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,6,10,9,18,52,1,1,1,2164,0,33,14,64,0,1,0,0,0,0,16,1,0,0,0,23,2,http://nflstreams.to,0
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,82,0,0,40,38,8,61,1,1,1,6170,0,108,9,105,0,1,0,0,0,0,25,1,0,0,2,29,0,http://gdata.de,0
1,1,1,0,0,1,0,1,1,0,0,16,30,0,4,76,0,0,13,53,16,12,0,1,0,12492,27,92,3,287,0,1,1,1,0,1,7,1,0,0,0,67,0,http://meganet.ru,0
1,1,1,1,1,1,0,0,0,0,0,2,2,5,0,103,0,0,22,9,43,60,1,1,1,4860,0,133,42,114,0,1,1,0,0,0,23,1,0,1,38,54,0,http://splitit.com,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://powerball.com,0
1,1,0,0,0,1,0,0,1,0,0,6,0,0,0,113,0,0,23,18,1,36,1,1,1,5698,0,133,8,90,0,0,1,0,0,1,11,0,0,0,0,6,0,http://bundesgerichtshof.de,0
1,1,1,0,1,1,0,0,1,0,0,3,2,0,139,20,0,0,23,5,7,25,1,1,1,3865,0,28,6,74,0,0,1,0,1,1,17,0,0,0,0,8,0,http://swedenabroad.se,0
1,1,1,0,1,1,0,0,1,0,0,21,14,0,0,34,0,0,31,42,48,51,1,1,1,6304,0,64,38,271,0,0,1,1,0,1,16,0,0,1,18,92,0,http://init.lt,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,19,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,http://networklubbock.com,0
1,1,1,0,1,1,0,1,1,0,0,35,3,0,0,45,0,0,6,15,19,41,1,1,1,5580,2,73,8,203,0,1,1,0,1,1,13,1,0,1,8,41,0,http://wateraid.org,0
1,1,1,0,0,1,0,0,0,0,0,3,3,0,0,209,0,0,8,49,21,102,1,1,1,33423,0,434,111,719,0,1,1,0,1,1,16,1,0,0,0,89,0,http://dailypioneer.com,0
1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,4,1,17,55,0,0,0,196,0,0,1,6,0,0,0,0,0,0,27,0,0,0,0,0,0,http://moroccoworldnews.com,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26,0,5,5,11,8,23,0,0,0,3154,0,31,5,27,0,0,0,0,1,0,2,0,0,0,0,4,3,http://eftps.gov,0
1,1,1,0,0,1,0,0,0,0,0,2,2,0,0,125,0,0,8,150,4,42,1,1,0,62864,0,404,122,36,0,1,1,0,0,0,5,1,0,0,0,10,0,http://seclists.org,0
1,1,1,0,1,1,0,0,0,0,1,2,6,0,2,355,0,0,6,21,24,21,1,1,0,9790,4,374,13,208,0,1,0,0,1,1,28,1,0,0,0,39,0,http://usp.org,0
1,1,1,0,0,1,0,0,0,0,0,2,6,0,0,48,0,0,15,9,20,50,1,1,1,7266,0,85,26,158,23,1,1,0,1,1,16,1,0,0,0,72,0,http://nationaltheatre.org.uk,0
1,1,1,0,0,1,0,1,0,0,0,1,6,0,0,0,0,0,69,0,10,64,0,0,0,2957,0,98,34,90,0,1,1,0,1,0,19,1,0,0,0,0,0,http://tuscaloosanews.com,0
1,1,1,0,0,1,1,1,1,0,0,6,9,0,0,3,0,0,17,20,54,31,0,0,0,4211,3,249,31,330,0,1,1,0,1,1,5,1,0,1,32,236,0,http://firebox.com,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,16,0,1,0,519,0,0,0,2,0,0,0,0,0,0,16,0,0,0,0,0,0,http://kela.fi,0
1,1,1,0,0,1,0,0,0,0,0,6,3,0,0,30,0,0,24,43,12,65,1,1,1,8227,3,52,24,113,0,1,0,0,0,0,25,1,0,0,0,51,0,http://debitoor.com,0
1,1,1,1,1,1,1,1,1,0,0,23,6,3,0,58,0,0,23,26,55,9,1,1,1,7240,0,115,141,279,0,1,1,0,0,1,18,1,0,0,0,46,0,http://greensock.com,0
