has_title,has_input,has_button,has_image,has_submit,has_link,has_password,has_email_input,has_hidden_element,has_audio,has_video,number_of_inputs,number_of_buttons,number_of_images,number_of_option,number_of_list,number_of_th,number_of_tr,number_of_href,number_of_paragraph,number_of_script,length_of_title,has_h1,has_h2,has_h3,length_of_text,number_of_clickable_button,number_of_a,number_of_img,number_of_div,number_of_figure,has_footer,has_form,has_text_area,has_iframe,has_text_input,number_of_meta,has_nav,has_object,has_picture,number_of_sources,number_of_span,number_of_table,URL,label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,https://fbnj.navitend.co/,1
1,1,1,0,0,1,0,1,0,0,0,3,5,0,0,6,0,0,3,9,15,10,1,1,1,2688,3,32,6,74,0,1,1,1,0,1,4,0,0,0,0,23,0,http://resolverhq.firebaseapp.com,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,16,1,1,0,82,0,0,3,8,0,0,0,0,0,0,4,0,0,0,0,0,0,https://s.id/pannelloprotezionecarteBNL,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,1,18,15,0,0,1,226,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,https://tribelio.page/warningbusinessrestriction,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,1,18,15,0,0,1,226,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,https://tribelio.page/restrictionbusinessmanager,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://my.dealersocket.com/emailtrack/track/track?siteId=19&amp;sentId=51150&amp;entityId=607895&amp;emailType=doc&amp;redirectLink=https://aircocleaner.be/neww/auth/pmmhri%2F%2F%2F%2F@yorku.ca,1
1,1,1,0,0,1,0,1,1,0,0,15,4,0,0,69,0,0,13,25,21,60,1,1,0,5813,1,97,23,165,0,0,1,0,0,1,7,1,0,0,0,29,0,https://prosmart.com.tr/app/app/,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,30,1,0,0,689,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,http://110184535pj.run.place/,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,https://dev-plataformasegura-homeitau24horas-py.pantheonsite.io/,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,30,1,0,0,697,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,http://223462625423ar.linkpc.net/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,15,1,1,0,233,0,5,1,8,0,0,0,0,0,0,2,0,0,0,0,1,0,https://onpublishies-data69-centers.start.page/,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,1,0,0,176,0,2,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,http://pancakeswap.gb.net,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,16,1,1,0,82,0,0,3,8,0,0,0,0,0,0,4,0,0,0,0,0,0,https://s.id/pannellosicurezzacarte,1
1,1,1,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,1,3,3,36,0,1,0,476,1,2,0,8,0,0,1,0,0,0,5,0,0,0,0,7,0,https://www.apteka-sadivnyka.ua/alegrospolish/0,1
1,1,1,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,1,3,3,36,0,1,0,476,1,2,0,8,0,0,1,0,0,0,5,0,0,0,0,7,0,https://www.apteka-sadivnyka.ua/alegrospolish/0/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,230,0,1,0,5,0,0,0,0,0,0,5,0,0,0,0,1,0,https://handycupboard.com/?gclid=EAIaIQobChMIzsCgq9Lg_QIVp5_9Bx3x4w62EAEYASAAEgJ_D_D_BwE,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://a.inaltipiani.it/,1
1,1,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,7,2,8,43,1,1,1,1257,0,32,2,42,0,0,0,0,0,0,7,0,0,0,0,22,0,https://qn0wcqpg1.supersurvey.com/,1
